,0
0,Nintendogs
1,Mario Kart DS
2,Brain Age: Train Your Brain in Minutes a Day
3,Brain Age 2: More Training in Minutes a Day
4,Animal Crossing: Wild World
5,Grand Theft Auto: Liberty City Stories
6,Big Brain Academy
7,Madden NFL 06
8,God of War
9,Need for Speed: Most Wanted
10,Kingdom Hearts II
11,FIFA Soccer 06
12,World Soccer Winning Eleven 9
13,Namco Museum: 50th Anniversary
14,Tekken 5
15,Midnight Club 3: DUB Edition
16,Resident Evil 4
17,Star Wars: Battlefront II
18,LEGO Star Wars: The Video Game
19,Star Wars Episode III: Revenge of the Sith
20,Sonic Rush
21,WWE SmackDown! vs. RAW 2006
22,Call Of Duty 2: Big Red One
23,Guitar Hero
24,Devil May Cry 3: Dante's Awakening
25,Need for Speed: Most Wanted 5-1-0
26,Pokemon Mystery Dungeon: Red/Blue Rescue Team
27,Peter Jackson's King Kong: The Official Game of the Movie
28,Call of Duty 2
29,Pokémon Mystery Dungeon: Blue Rescue Team
30,Grand Theft Auto: San Andreas
31,Medal of Honor: European Assault (All Region sales)
32,Madden NFL 06
33,NCAA Football 06
34,2 Games in 1: Sonic Advance & ChuChu Rocket!
35,50 Cent: Bulletproof
36,SOCOM 3: U.S. Navy SEALs
37,Resident Evil 4
38,Star Wars: Battlefront II
39,Dragon Ball Z: Budokai Tenkaichi
40,NBA Live 06 (All region sales)
41,Tony Hawk's American Wasteland (Old all region sales)
42,Super Mario Strikers
43,Buzz! The Music Quiz
44,Dollar Dash
45,Mario Party 7
46,MVP Baseball 2005
47,Major League Baseball 2K5
48,Mario Superstar Baseball
49,Tony Hawk's American Wasteland (Weekly american sales)
50,NBA Live 06 (Weekly american sales)
51,LEGO Star Wars: The Video Game
52,Dynasty Warriors 5
53,The Sims 2
54,Doom 3
55,Monster Hunter Freedom
56,Need for Speed Underground Rivals
57,Madagascar
58,SingStar '80s
59,Mario & Luigi: Partners in Time
60,Midnight Club 3: DUB Edition (America weekly sales)
61,The Sims 2: Nightlife
62,Tamagotchi Connection: Corner Shop
63,Need for Speed: Most Wanted
64,Pokemon XD: Gale of Darkness
65,Ratchet: Deadlocked
66,Star Wars Episode III: Revenge of the Sith
67,Star Wars: Battlefront II
68,World Soccer Winning Eleven 9 (JP & Others sales)
69,Gun
70,LEGO Star Wars: The Video Game
71,Shadow of the Colossus
72,Dance Dance Revolution Extreme 2
73,LEGO Star Wars: The Video Game
74,Royal Palace of White Sword and The City of Gentiles
75,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales)
76,SOCOM: U.S. Navy SEALs Fireteam Bravo
77,Call Of Duty 2: Big Red One
78,Tom Clancy's Splinter Cell: Chaos Theory
79,Untold Legends: Brotherhood of the Blade
80,Namco Museum Battle Collection
81,Star Fox: Assault
82,SoulCalibur III
83,World Tour Soccer
84,NBA Street V3
85,Forza Motorsport
86,Need for Speed: Most Wanted
87,MX vs. ATV Unleashed
88,WipEout Pure
89,Super Princess Peach
90,Shadow The Hedgehog
91,Mario Party Advance
92,Zoo Tycoon DS
93,NCAA Football 06
94,Grand Theft Auto: San Andreas
95,Tom Clancy's Splinter Cell: Chaos Theory
96,Destroy All Humans!
97,MVP Baseball 2005
98,The Sims 2
99,Bentley's Hackpack
100,Phoenix Wright: Ace Attorney
101,Burnout Revenge
102,Madagascar
103,Blitz: The League
104,Tiger Woods PGA Tour 06
105,NBA 2K6
106,Fight Night Round 2
107,Rogue Galaxy
108,Burnout Legends
109,Sly 3: Honor Among Thieves
110,Tony Hawk's Underground 2 Remix
111,MediEvil: Resurrection
112,The Sims 2
113,Yakuza
114,Perfect Dark Zero
115,Marvel Nemesis: Rise of the Imperfects
116,Donkey Kong Country 3
117,Twisted Metal: Head On
118,Mercenaries: Playground of Destruction
119,Mega Man Battle Network 6: Cybeast Falzar / Gregar
120,True Crime: New York City
121,Super Monkey Ball: Touch & Roll
122,Madden NFL 06
123,Coded Arms
124,Midnight Club 3: DUB Edition
125,Star Wars Episode III: Revenge of the Sith
126,Ultimate Spider-Man
127,Kouchuu Ouja Mushi King
128,Kirby: Canvas Curse
129,Conker: Live And Reloaded
130,Doom 3: Resurrection of Evil
131,Spider-Man 2
132,Jade Empire
133,Ape Escape: On the Loose
134,Disney's Chicken Little
135,Halo 2 Multiplayer Map Pack
136,Mortal Kombat: Shaolin Monks
137,Prince of Persia: The Two Thrones
138,Mercenaries: Playground of Destruction
139,FIFA Soccer 06
140,Star Wars: Republic Commando
141,Virtua Tennis: World Tour (US & Others sales)
142,Madagascar
143,Brothers In Arms: Road to Hill 30
144,Radiata Stories
145,Disney's Chicken Little
146,Cartoon Network Block Party / Cartoon Network Speedway Double Pack
147,Champions: Return to Arms
148,Harry Potter and the Goblet of Fire
149,NBA Live 06
150,Jampack Volume 13 (RP-T)
151,X-Men Legends II: Rise of Apocalypse
152,NASCAR 06: Total Team Control
153,Tony Hawk's American Wasteland
154,2 Games in 1: Sonic Battle & ChuChu Rocket!
155,Half-Life 2
156,Final Fantasy IV Advance
157,Harry Potter and the Goblet of Fire
158,Shadow The Hedgehog
159,Fight Night Round 2
160,PGR3 - Project Gotham Racing 3
161,Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e
162,Pokemon Trozei!
163,Romancing SaGa
164,Prince of Persia: The Two Thrones
165,NHL 06
166,Far Cry Instincts
167,ATV Offroad Fury: Blazin' Trails
168,Tales of the Abyss
169,Madden NFL 06
170,Dynasty Warriors 5: Xtreme Legends
