,0
1976,0.0
1977,0.863636363636
1978,0.0
1979,1.0
1980,0.0429331306991
1981,0.414872798434
1982,0.224093486853
1983,0.176957163959
1984,0.0367355043685
1985,0.0652576937338
1986,0.370650121392
1987,0.0515179392824
1988,0.0370605675561
1989,0.0631722260041
1990,0.129378416684
1991,0.209742475954
1992,0.0515862611432
1993,0.0383555838101
1994,0.0195756504168
1995,0.0405175348996
1996,0.103339191564
1997,0.136823570259
1998,0.153340720437
1999,0.112622091638
2000,0.168913226622
2001,0.178361520931
2002,0.219420600858
2003,0.187312260589
2004,0.181731718046
2005,0.186551070171
2006,0.127285964727
2007,0.173452300822
2008,0.204921769308
2009,0.20851398694
2010,0.195036770879
2011,0.234296439651
2012,0.334369878556
2013,0.339219356437
2014,0.293973637463
2015,0.270409283936
2016,0.225239355619
2017,0.25
2020,0.0
