,0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0493920972644
1981,0.0
1982,0.0
1983,0.0236336779911
1984,0.0
1985,0.0
1986,0.0
1987,0.201471941122
1988,0.0
1989,0.0
1990,0.0
1991,0.0695004654049
1992,0.160527005768
1993,0.00148336511973
1994,0.0472341500379
1995,0.00817160367722
1996,0.0210394175245
1997,0.0246267546253
1998,0.0352637001614
1999,0.0301754943222
2000,0.0147678279399
2001,0.0311862780377
2002,0.0275850883322
2003,0.00591120787059
2004,0.0206745687349
2005,0.018379842861
2006,0.0218322204872
2007,0.0396138755274
2008,0.0365125580848
2009,0.0309475707292
2010,0.0271835857483
2011,0.030527001663
2012,0.0162765614713
2013,0.0169010982961
2014,0.0172864201585
2015,0.0310806853126
2016,0.029768323367
2017,0.0625
2020,0.0
