,0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0585106382979
1981,0.0
1982,0.0080769891734
1983,0.0
1984,0.0
1985,0.0194660734149
1986,0.0
1987,0.249310027599
1988,0.0
1989,0.0
1990,0.0
1991,0.0121005274589
1992,0.199921342423
1993,0.185420639966
1994,0.107097751958
1995,0.168539325843
1996,0.0906854130053
1997,0.0583304399583
1998,0.123092474874
1999,0.056618756452
2000,0.100203181525
2001,0.0543360921195
2002,0.0625935722128
2003,0.0656709014248
2004,0.0408260316479
2005,0.0459929558385
2006,0.0433195704446
2007,0.02872949945
2008,0.0516513734486
2009,0.0483508501124
2010,0.0247405890057
2011,0.0435391482782
2012,0.0258435937303
2013,0.0194885628561
2014,0.0475749749959
2015,0.0295431249085
2016,0.0307486194164
2017,0.0
2020,0.0
