,0
1976,0.0
1977,0.136363636364
1978,0.0
1979,0.0
1980,0.0121580547112
1981,0.0134190662566
1982,0.0539611617116
1983,0.0
1984,0.118149324861
1985,0.0
1986,0.0528729430807
1987,0.0
1988,0.0453197797543
1989,0.0
1990,0.12674630492
1991,0.0353707725721
1992,0.118510749869
1993,0.00762873490146
1994,0.0276584996211
1995,0.0691181477698
1996,0.141802661311
1997,0.158275879173
1998,0.108473785502
1999,0.147979035972
2000,0.0998067297686
2001,0.1673563632
2002,0.0780766543567
2003,0.143894507675
2004,0.113727961195
2005,0.121484692495
2006,0.06496977593
2007,0.0638533646348
2008,0.103133639198
2009,0.0509689086631
2010,0.0580106786662
2011,0.0697676680249
2012,0.0384222100825
2013,0.0340912218888
2014,0.0502022720148
2015,0.0302020793674
2016,0.0218279253668
2017,0.0
2020,0.0
