,0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0679794982466
1987,0.213891444342
1988,0.124523506989
1989,0.0299523485364
1990,0.0915165013161
1991,0.100837728824
1992,0.0899318300996
1993,0.118457300275
1994,0.0897954028795
1995,0.161843150607
1996,0.220738137083
1997,0.108079956351
1998,0.109173616376
1999,0.194909870563
2000,0.143887209475
2001,0.0661508936068
2002,0.114232957381
2003,0.0835423154298
2004,0.128339257903
2005,0.061728528854
2006,0.110578903503
2007,0.0713804934907
2008,0.0874286806658
2009,0.0717317776315
2010,0.116978407603
2011,0.103358067434
2012,0.131697272765
2013,0.123234881224
2014,0.137440475302
2015,0.140631864109
2016,0.153939156292
2017,0.6875
2020,0.0
