,0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0125803746156
1982,0.0
1983,0.0
1984,0.0
1985,0.00055617352614
1986,0.0
1987,0.0
1988,0.000635324015248
1989,0.0
1990,0.0230815954647
1991,0.0663977660565
1992,0.0280545359203
1993,0.00402627675355
1994,0.0344784036373
1995,0.0474406991261
1996,0.056891790108
1997,0.0478646892515
1998,0.0276433195311
1999,0.0454220598745
2000,0.0167748649586
2001,0.0592089480629
2002,0.0269737498752
2003,0.058395568661
2004,0.0257510729614
2005,0.106030885939
2006,0.04164311648
2007,0.0795807134766
2008,0.0678857126051
2009,0.0506208430754
2010,0.0366785318513
2011,0.0297100955975
2012,0.0381700774607
2013,0.0240166258361
2014,0.0170027915031
2015,0.0211597598477
2016,0.0146064111362
2017,0.0
2020,1.0
