,0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0291653738753
1992,0.00485055060304
1993,0.0171646535283
1994,0.0449608486992
1995,0.0738849165815
1996,0.0281697213156
1997,0.0382669510441
1998,0.0523317975934
1999,0.0732748352259
2000,0.0422468903315
2001,0.0226400383831
2002,0.013911068969
2003,0.0221015790779
2004,0.0170603830561
2005,0.0115090761311
2006,0.00812361692548
2007,0.0153415527063
2008,0.0174769131228
2009,0.0187804084474
2010,0.023624030357
2011,0.0174662296868
2012,0.00938493647659
2013,0.0168322827493
2014,0.00309005956202
2015,0.00693732610924
2016,0.00898604711956
2017,0.0
2020,0.0
